ejecutar_por_paleta	run_by_palette
listado_de	listing_of
keymap_dialogo_de_preset	preset_dialog_keymap
ajustes_de_prueba	test_settings
columnas_por_defecto	default_columns
en_vuelo	in_flight
app_de_prueba	test_app
al_confirmar	on_confirm
por_la_paleta	by_palette
vistas_de_dialogos	dialog_views
app_de_prueba_con	test_app_with
pintar_en	paint_at
arbol_con_plugins	tree_with_plugins
falso_con_plan	fake_with_plan
linea_de_ruta	path_line
solo_con_consulta	only_with_query
efecto_de	effect_of
fila_de	row_of
host_con_capas	host_with_layers
SinPrograma	NoProgram
ajustes_por_defecto	default_settings
separar_los_paneles	separate_the_panes
aviso_de_imagen	image_notice
LuaDeCapa	LayerLua
SinAnillo	NoRing
a_deshacer	to_undo
con_raiz	with_root
arbol_con_hallazgos	tree_with_findings
cambio_de_banners	banner_change
tecla_de	key_for
ErrorDeArranque	StartupError
ancho_de	width_of
columnas_de	columns_of
de_nodo	for_node
hueco_de_kind	slot_of_kind
verbo_de_dialogo	dialog_verb
decir_con	say_with
puesta_en	placed_in
arbol_de	tree_of
arbol_de_prueba	test_tree
clase_por_nombre	class_by_name
con_lineas	with_lines
estilo_de_entrada	entry_style
host_con_backend_y_registro	host_with_backend_and_log
host_con_registro	host_with_log
pedira_el_secreto	will_ask_for_secret
abrir_al_crear	open_on_create
clave_de_io	io_key
cursor_del_tablero	board_cursor
dir_de_escritura	write_dir
fallo_la_task	task_failed
formato_de_nombre	name_format
identidad_de	identity_of
sin_escritorio	without_desktop
TRAIDAS_POR_LISTA	BROUGHT_BY_LIST
arbol_de_arranque	startup_tree
barra_en_columna	bar_in_column
celdas_del_par	pair_cells
con_salida	with_output
favoritos_del_sidebar	sidebar_favorites
ia_en_vuelo	ai_in_flight
marcas_a_restaurar	marks_to_restore
mover_en_ficha	move_in_card
nota_de_descartes	discard_note
parche_de_ayuda	help_patch
parche_filas_de	patch_rows_of
programa_del_daemon	daemon_program
visor_en_vuelo	viewer_in_flight
aplicar_disposicion_con	apply_layout_with
app_con_arbol	app_with_tree
arbol_con_ramas	tree_with_branches
aviso_de_daemon	daemon_notice
con_cromo	with_chrome
con_filas	with_rows
contenido_de_hueco	slot_content
cursor_a_restaurar	cursor_to_restore
decir_de_ia	ai_say
detalle_de_task	task_detail
entrar_en_docs	enter_docs
errores_de_carga	load_errors
falso_con_arbol	fake_with_tree
falso_con_sesion	fake_with_session
fila_o_cero	row_or_zero
filas_de	rows_of
hueco_de_sitios	places_slot
ids_del_tablero	board_ids
informe_de_lote	batch_report
informe_de_undo	undo_report
linea_de	line_of
poner_en	put_in
que_se_comprueba	that_is_checked
texto_de_tercero	third_party_text
HistorialDeLado	SideHistory
PorDefecto	Default
SeEjecuta	Runs
SinIndice	NoIndex
TOPE_POR_SECCION	CAP_PER_SECTION
ajuste_de	setting_of
app_con_gestor	app_with_manager
cabecera_de	header_of
capas_con_perfil	layers_with_profile
clave_de_sesion	session_key
con_indice	with_index
decir_de_organizar	say_from_organize
error_al_borrar	error_on_delete
etiqueta_de_fuente	source_label
host_de_prueba	test_host
identidad_de_columna	column_identity
informe_de_sync	sync_report
ir_a_indice	go_to_index
keymap_de_preset_con_capas	preset_keymap_with_layers
marca_los_ficheros	marks_the_files
nota_de_captura	capture_note
nota_de_recorte	truncation_note
pie_en_vuelo	footer_in_flight
rama_de_head	head_branch
roles_de_tema	theme_roles
semantica_en_vuelo	semantics_in_flight
suelta_la_sesion	drops_the_session
tecla_a_bytes	key_to_bytes
todos_con	all_with
EnParte	InPart
POR_PAGINA	PER_PAGE
SinRespuesta	NoResponse
SpoolsSinBarrer	UnsweptSpools
TOPE_DEL_INDICE	INDEX_CAP
TamanoDeDirectorio	DirectorySize
VolumenesDeLado	SideVolumes
YaNoEsElFichero	NoLongerTheFile
app_con_imagen_colocada	app_with_placed_image
arrancar_con	start_with
aterriza_en	lands_on
cambia_el_estado	changes_the_state
campos_de_busqueda	search_fields
catalogo_de	catalog_of
cerrar_ir_a	close_go_to
desenlace_de_busqueda	search_outcome
dir_en_curso	current_dir
disposicion_de_referencia	reference_layout
efecto_visor_de	viewer_effect_of
esquema_del_orden	order_scheme
filas_de_comandos	command_rows
filas_de_paleta	palette_rows
filas_por_publicar	rows_to_publish
host_con_arbol	host_with_tree
host_con_linea	host_with_timeline
hueco_de_ramas	branches_slot
huecos_de_registro	log_slots
keymap_visor_de_preset_con_capas	preset_viewer_keymap_with_layers
linea_de_wire	wire_line
listado_en	listing_in
no_aplicable_en_caliente	not_hot_reloadable
nombre_de	name_of
nombres_de_tema	theme_names
organizar_en_vuelo	organize_in_flight
origen_a_peticion	origin_on_request
pagina_de_copiado	copy_page
plan_con_colision	plan_with_collision
rechazos_por_tamano	rejections_by_size
relevo_en_curso	handoff_in_progress
salida_de_comando	command_output
sin_confinar	unconfined
sin_foco	unfocused
sin_historial	no_history
sin_pagina	no_page
task_a_cancelar	task_to_cancel
visor_de_referencia	reference_viewer
volumen_de_disco	disk_volume
AvisosDeDestino	DestinationNotices
ConexionesDeIrA	GoToConnections
EsElFichero	IsTheFile
EventoDeSync	SyncEvent
FichaDePlugin	PluginTab
FicheroDeSumas	ChecksumsFile
IndiceDeIrA	GoToIndex
InformeDeSumas	ChecksumsReport
InformeDeSync	SyncReport
NoSeSabe	Unknown
PAGINA_DE_AYUDA	HELP_PAGE
PaginaDeLinea	TimelinePage
PaginaDePlugin	PluginPage
PanelesDePlugin	PluginPanes
PlanDeLote	BatchPlan
PluginsDeAyuda	HelpPlugins
PluginsDePaleta	PalettePlugins
RamasDeArbol	TreeBranches
SalidaDeComando	CommandOutput
SeleccionDeTema	ThemeSelection
SumasEnVuelo	ChecksumsInFlight
UndoDeSesion	SessionUndo
VolumenesDePie	FooterVolumes
abrir_con	open_with
abrir_panel_de_terminal	open_terminal_panel
abrir_volumenes_con	open_volumes_with
activar_en_ayuda	activate_in_help
agentes_de_referencia	reference_agents
ajustes_de_referencia	reference_settings
ancho_en	width_in
anchos_de_preview_tras	preview_widths_after
apaga_el_aviso	turns_off_the_notice
arbol_con_esquema	tree_with_scheme
arrancar_con_marca	start_with_mark
asistente_de_referencia	reference_wizard
ayuda_con_fila	help_with_row
ayuda_de_referencia	reference_help
base_de_trozos	chunk_base
borrar_de_verdad	delete_for_real
botones_de_paneles	pane_buttons
busqueda_de_referencia	reference_search
bytes_de_carga	payload_bytes
bytes_de_ruta	path_bytes
cabeceras_de_todos	headers_of_all
cambiar_de_perfil	switch_profile
cambio_de_filas	row_change
cancelar_por_comando	cancel_by_command
caps_de_ruta	path_caps
clase_de_task	task_class
columnas_de_referencia	reference_columns
con_foco	with_focus
con_historial	with_history
con_mayus	with_shift
con_sitios	with_places
contexto_de_ayuda	help_context
cursor_del_listado	listing_cursor
cursores_de_registro	log_cursors
de_la_ventana	of_the_window
destino_en_espejo	mirrored_destination
destino_y	destination_and
dialogo_de_referencia	reference_dialog
dir_de_perfiles	profiles_dir
disposiciones_de_referencia	reference_layouts
ejecutar_del_menu	run_from_menu
elementos_de_estado	state_items
en_teclas	in_keys
enfocar_lo_pulsado	focus_the_pressed
error_al_aplicar	error_on_apply
error_al_decidir	error_on_decide
error_de_busqueda	search_error
error_de_capacidades	capabilities_error
es_del_humano	is_from_human
es_unidad_de	is_unit_of
esquema_de_prueba	test_scheme
etiqueta_de_ancla	anchor_label
extensiones_de_referencia	reference_extensions
fila_de_extension	extension_row
fila_de_suma	checksum_row
filas_del_indice	index_rows
hash_de_prueba	test_hash
hoja_de_atributos	attributes_sheet
host_con_backend_y_anillo	host_with_backend_and_ring
host_con_mapa	host_with_map
host_con_rutas	host_with_paths
host_con_tema	host_with_theme
hueco_del_arbol	tree_slot
huellas_de_columnas	column_footprints
ir_a_de_referencia	reference_goto
ir_al_resultado	go_to_result
listado_del_lado	side_listing
menu_de_referencia	reference_menu
mide_el_reparto	measures_the_distribution
mover_en_cola_por_comando	move_in_queue_by_command
nombre_de_ancla	anchor_name
ordenar_por_columna	sort_by_column
pagina_de_ayuda	help_page
pausar_por_comando	pause_by_command
pedir_al_indice	ask_the_index
pedir_favorito_de	request_favorite_of
pedir_visor_de	request_viewer_of
perfiles_de_referencia	reference_profiles
plan_ia_de_referencia	reference_ai_plan
preguntar_por_aprobacion	ask_for_approval
preguntar_por_desinstalacion	ask_for_uninstall
programa_de_referencia	reference_program
progreso_de_hueco	slot_progress
reintentar_por_comando	retry_by_command
responde_con_foto	responds_with_snapshot
salida_de_referencia	reference_output
seguido_de_mapa	followed_by_map
selector_de_referencia	reference_selector
siembra_de_perfil	profile_seed
soltar_en_panico	drop_on_panic
task_de_referencia	reference_task
tema_de_referencia	reference_theme
texto_de	text_of
texto_de_fila	row_text
titulo_de	title_of
tras_el_paso	after_the_step
undo_en_curso	undo_in_progress
valores_de_columna	column_values
variables_de_la_hoja	sheet_variables
ACCIONES_DEL_HOST	HOST_ACTIONS
ESQUEMAS_DE_PAGINA	PAGE_SCHEMAS
LectorDelPty	PtyReader
MedidaDeMapa	MapMeasure
PENDIENTES_DE_GASTAR	PENDING_TO_SPEND
SIGUEN_AL_CURSOR	FOLLOW_THE_CURSOR
SONDEOS_A_LA_VEZ	POLLS_AT_ONCE
a_donde	where_to
abrir_ir_a	open_go_to
abrir_lo_comprobado	open_the_checked
abrir_lo_creado	open_the_created
abrir_panel_de_sync	open_sync_panel
abrir_volumenes_en	open_volumes_in
accion_de_comparacion	comparison_action
acciones_de_ajustes	settings_actions
acciones_de_cromo	chrome_actions
acciones_de_fila	row_actions
acciones_de_overlay	overlay_actions
acciones_de_pantalla	screen_actions
acciones_del_host	host_actions
acciones_del_renderer	renderer_actions
acorde_de_dialogo	dialog_chord
acorde_de_salida	exit_chord
activar_del_menu	activate_from_menu
actuar_en_ayuda	act_in_help
al_abrir	on_open
algo_encima_del_visor	something_above_the_viewer
aplicar_de_fondo	apply_in_background
aprobar_o_denegar	approve_or_deny
arbol_de_ramas	branch_tree
atar_la_creacion	bind_the_creation
avisar_de_aprobacion	notify_of_approval
avisar_del_desenlace	notify_of_outcome
aviso_de_arranque	startup_notice
aviso_de_nivel	level_notice
aviso_de_plugin	plugin_notice
avisos_de_destino	destination_notices
ayuda_de_extension	extension_help
bajo_el_cursor	under_the_cursor
barra_de_sitios	places_bar
bombear_avisos_de_plugin	pump_plugin_notices
bombear_tic_de_sesion	pump_session_tick
borde_y	border_and
boton_de_pestana	tab_button
cambia_de_perfil	switches_profile
cambio_de_conexion	connection_change
cambios_de_linea	line_changes
cambios_de_listado	listing_changes
cambios_de_overlay	overlay_changes
cambios_de_pantalla	screen_changes
cambios_del_listado	listing_changes
cambios_del_resto	rest_changes
celdas_de_plugin	plugin_cells
clic_en_mapa	click_on_map
clic_en_panel	click_on_pane
colocaciones_de_referencia	reference_placements
comando_de_daemon	daemon_command
comandos_de	commands_of
comandos_de_id	id_commands
comparacion_de_referencia	reference_comparison
con_conexiones	with_connections
con_los_perfiles	with_the_profiles
con_nota	with_note
conexiones_de_ir_a	goto_connections
confirmar_ir_a	confirm_go_to
cromo_de_mayor_a_menor	chrome_high_to_low
cuerpo_de_lote	batch_body
cuerpo_de_undo	undo_body
de_otro_fichero	from_another_file
decir_el_recuento	report_the_count
del_entorno	from_env
del_listado	of_the_listing
desalojar_del_tablero	evict_from_board
destino_del_gesto	gesture_destination
detalle_de_lote	batch_detail
disposiciones_del_usuario	user_layouts
draw_tiras_de_paneles	draw_pane_strips
efecto_de_disposicion	layout_effect
efecto_de_listado	listing_effect
efecto_en_linea	timeline_effect
efecto_en_sitios	places_effect
ejecutar_de_archivo	run_from_file
ejecutar_de_plugin	run_from_plugin
ejecutar_de_renamer	run_from_renamer
elegir_del_selector	choose_from_selector
enter_en_ayuda	enter_in_help
entradas_de	entries_of
error_al_escribir	error_on_write
es_ficha_de	is_tab_of
escribir_en_dialogo	write_in_dialog
espacio_de	space_of
estado_de_busqueda	search_state
etiqueta_de_columna	column_label
falta_en_castellano	missing_in_spanish
falta_en_ingles	missing_in_english
fichero_de_sumas	checksums_file
fila_de_subir	upload_row
fila_por_indice	row_by_index
filas_de_registro	log_rows
filas_de_tablero	board_rows
filtro_de_registro	log_filter
firma_de_panel	pane_signature
fresh_con_papelera	fresh_with_trash
fuente_de_registro	log_source
gesto_de_panel	pane_gesture
gobernar_por_raton	govern_by_mouse
grupos_de_pestanas	tab_groups
guardia_de_navegacion	navigation_guard
hermana_del_preview	preview_sibling
hermana_del_visor	viewer_sibling
host_con_capas_apiladas	host_with_stacked_layers
host_hoja_sin_visor	leaf_host_without_viewer
host_ortodoxo_en	orthodox_host_in
hueco_del_lado	side_slot
huecos_de_hoja	leaf_slots
huecos_de_panel	pane_slots
