inyectar_task_de	inject_task_for
buzon_de	mailbox_of
anchos_de_preview	preview_widths
imagen_a_colocar	image_to_place
sin_peligro	harmless
app_con_paso_suspendido	app_with_suspended_step
error_al_gobernar	governance_error
canceladas_por_id	canceled_by_id
PlanDeSyncFallido	FailedSyncPlan
apuntar_en_menu	point_in_menu
bombear_canales_del_backend	pump_backend_channels
con_ya_filtrada	with_already_filtered
fuentes_de_ir_a	go_to_sources
fuentes_de_splash	splash_sources
pliegue_de	fold_of
se_reofrece	is_offered_again
shift_con_char_es_error_diagnosticable	shift_with_char_is_a_diagnosable_error
args_bad_tipados_son_error_no_degradacion	badly_typed_args_are_an_error_not_a_degradation
clase_del_futuro	future_class
cmd_precede_a_ctrl_en_la_grafia_canonica	cmd_precedes_ctrl_in_the_canonical_spelling
decode_round_trip_y_rechazos	decode_round_trip_and_rejections
el_pintor_usa_el_modo_pineado_no_el_chrome_en_vivo	the_painter_uses_the_pinned_mode_not_the_live_chrome
hostile_chords_son_un_solo_codepoint_hazard_y_unicos	hostile_chords_are_a_single_codepoint_hazard_and_unique
keymap_accepted_implica_resolucion_determinista	keymap_accepted_implies_deterministic_resolution
la_csp_no_deja_puertas	the_csp_leaves_no_doors
la_vista_mezcla_la_terminal_y_el_daemon	the_view_mixes_the_terminal_and_the_daemon
los_ids_repetidos_se_detectan	repeated_ids_are_detected
region_ausente_sin_endpoint_es_error	missing_region_without_endpoint_is_an_error
sin_duplicados	no_duplicates
sync_plan_mode_malformado_o_ausente_es_error_no_default	sync_plan_mode_malformed_or_missing_is_an_error_not_a_default
un_panel_sin_consentir_no_aporta_kind	a_panel_without_consent_contributes_no_kind
un_preview_oculto_no_produce_objetivo	a_hidden_preview_produces_no_target
