arbol	tree
falso	fake
foto	snapshot
efecto	effect
siguiente	next
mensaje	message
tecla	key
hueco	slot
fila	row
listado	listing
dialogos	dialogs
aplicada	applied
estado	state
nombre	name
epoca	epoch
texto	text
destino	dest
cambio	change
paleta	palette
hasta	until
efectos	effects
dialogo	dialog
siguientes	next
pon	put
sesion	session
ajustes	settings
decir	say
lineas	lines
foco	focus
prueba	test
obsoleta	stale
filas	rows
columnas	columns
pedir	request
ancho	width
fondo	background
huecos	slots
dos	two
pendiente	pending
ayuda	help
informe	report
ejecutar	run
aplicar	apply
clave	key
abrir	open
abajo	down
linea	line
aviso	notice
pantalla	screen
registro	log
extensiones	extensions
pedido	requested
como	as
pagina	page
pintar	paint
fuera	outside
estilo	style
busqueda	search
tecleado	typed
accion	action
tema	theme
lote	batch
seccion	section
avisos	notices
antes	before
ruta	path
progreso	progress
activo	active
vuelo	flight
nueva	new
hostil	hostile
remoto	remote
primera	first
defecto	default
cuerpo	body
organizar	organize
perfil	profile
cambios	changes
completo	full
referencia	reference
comparacion	comparison
entrada	entry
entradas	entries
paneles	panels
catalogo	catalog
indice	index
sitios	places
salida	output
sobre	over
arriba	up
visibles	visible
capas	layers
fuente	source
fallo	failure
resultado	result
fichero	file
celda	cell
anillo	ring
origen	source
raiz	root
lista	list
marcar	mark
desde	from
celdas	cells
firma	signature
secreto	secret
nuevo	new
listados	listings
clase	class
sinc	sync
nivel	level
lectura	read
disposicion	layout
borrar	delete
sumas	checksums
contenido	content
titulo	title
volumenes	volumes
ramas	branches
reparto	split
comandos	commands
mapa	map
cerrar	close
confirmar	confirm
miniatura	thumbnail
comando	command
ajuste	setting
ahora	now
sincronizacion	sync
veredicto	verdict
aterrizar	land
otro	other
salidas	outputs
visto	seen
que	that
partes	parts
escribir	write
conexion	connection
hijos	children
zonas	zones
plazo	deadline
programa	program
columna	column
elegir	choose
escrito	written
ficha	detail
pestana	tab
lanzar	launch
apertura	opening
resto	rest
atras	back
verbo	verb
despues	after
nombres	names
boton	button
detalle	detail
historial	history
derecha	right
espera	wait
nada	nothing
ordenes	commands
ultimo	last
conexiones	connections
ventana	window
procesos	processes
datos	data
esperar	wait
buscar	search
tamano	size
crear	create
hecho	done
puerta	gate
deshacer	undo
arranque	startup
elegido	chosen
tope	cap
historia	history
cancelar	cancel
tras	after
causa	cause
efectivo	effective
perfiles	profiles
barra	bar
aprobacion	approval
reconocido	recognized
sitio	place
hoja	sheet
hermana	sibling
desenlace	outcome
espejo	mirror
dentro	inside
rejilla	grid
fallida	failed
usuario	user
izq	left
refrescar	refresh
volumen	volume
escritura	write
consulta	query
reintento	retry
alternar	toggle
nota	note
tira	strip
transferencias	transfers
gobierno	governance
permanente	permanent
enfocado	focused
uno	one
cabecera	header
largo	long
escritorio	desktop
colocada	placed
asistente	wizard
lotes	batches
muta	mutates
elegida	chosen
favorito	favorite
arrastre	drag
sigue	follows
abierto	open
recorte	crop
capa	layer
todo	all
pintado	painted
senalar	point_at
guardada	saved
cerrado	closed
campo	field
nodo	node
cromo	chrome
esquema	scheme
nuevos	new
crudo	raw
para	for
cual	which
etiqueta	label
directorio	directory
agentes	agents
identidad	identity
acciones	actions
casos	cases
rutas	paths
lector	reader
vigencia	validity
navegar	navigate
variante	variant
poner	set
mando	command
vacio	empty
marcas	marks
semantica	semantic
soltar	release
disposiciones	layouts
guardar	save
inicio	start
claves	keys
sesiones	sessions
encolar	enqueue
borde	edge
primero	first
entrar	enter
capacidades	capabilities
tablero	board
restaurar	restore
lado	side
relevo	handoff
activar	activate
equipo	team
leido	read
perdidas	lost
pulsa	press
bloques	blocks
colision	collision
permisos	permissions
favoritos	favorites
populares	popular
formato	format
copiar	copy
transferencia	transfer
parejas	pairs
pulso	pulse
hijo	child
cuantas	how_many
ajena	foreign
partir	split
rama	branch
desconectar	disconnect
aprobaciones	approvals
sirve	serves
pasos	steps
der	right
mapas	maps
responde	answers
rotulos	labels
zona	zone
subir	up
tiene	has
aprobar	approve
archivo	archive
peticion	request
resuelto	resolved
marca	mark
ficheros	files
frase	phrase
parece	looks
resumen	summary
puesta	placed
papelera	trash
decidir	decide
rota	broken
empezo	started
vuelta	return
redimensionar	resize
empaquetado	packed
contexto	context
pide	asks
ancla	anchor
externo	external
arrancar	start
preguntar	ask
indexado	indexed
casa	home
abierta	open
todos	all
teclas	keys
ilegible	unreadable
codigos	codes
irreversibles	irreversible
omitidas	skipped
otra	other
proyecto	project
puestas	placed
renombrar	rename
sondeo	probe
renombrado	renamed
desconocido	unknown
cabeceras	headers
ciclar	cycle
instruccion	instruction
reintentar	retry
filtro	filter
soporte	support
editar	edit
cambia	changes
clic	click
adelante	forward
aplicados	applied
grupo	group
movido	moved
